"Device_ID","Device_Type","Operating_System","Department","Vulnerability","Threat","Attack","CPU_Usage","Memory_Usage","Network_Traffic","Failed_Logins","Open_Ports","Patch_Level","Firewall","Antivirus","User_Behaviour_Score","Risk_Score","Compromised"
"DEV0097","Laptop","Linux","HR","Buffer Overflow","Ransomware","Phishing",64.61,92.24,407.9,20,11,"Outdated","Disabled","Not Installed",67.92,56,"No"
"DEV0098","Desktop","macOS","HR","Outdated Antivirus","APT","Brute Force",69.85,79.4,335.19,12,5,"Updated","Enabled","Not Installed",67.29,26,"No"
"DEV0099","Server","Android","IT","Firewall Misconfiguration","APT","Brute Force",69.44,43.3,216.3,7,19,"Updated","Disabled","Installed",96.07,12,"No"
"DEV0100","Server","Linux","IT","Unpatched Software","Insider Threat","Brute Force",31.76,36.42,63.8,20,25,"Outdated","Enabled","Not Installed",55.86,7,"Yes"
"DEV0101","Laptop","Windows","Sales","Open Port","Insider Threat","Brute Force",43.81,28.12,384.08,9,6,"Outdated","Enabled","Not Installed",89.07,51,"Yes"
"DEV0102","IoT Device","macOS","IT","Outdated Antivirus","Insider Threat","DDoS",81.19,87.29,375.12,13,13,"Updated","Disabled","Installed",47.05,69,"Yes"
"DEV0103","Desktop","Windows","HR","Unpatched Software","Insider Threat","Brute Force",69.45,64.02,181.26,19,7,"Updated","Disabled","Installed",93.29,55,"Yes"
"DEV0104","Laptop","macOS","Admin","Firewall Misconfiguration","Insider Threat","Brute Force",72.3,22.1,325.98,0,2,"Updated","Enabled","Installed",77.89,37,"No"
"DEV0105","IoT Device","Linux","Admin","SQL Injection","Malware","Brute Force",94.72,77.56,214.87,0,8,"Updated","Disabled","Installed",68.45,7,"No"
"DEV0106","Desktop","Android","Sales","Remote Code Execution","APT","Phishing",68.71,27.93,397.14,10,13,"Updated","Enabled","Not Installed",60.07,5,"No"
"DEV0107","Laptop","Windows","HR","Firewall Misconfiguration","Ransomware","Brute Force",78.51,20.61,429.92,11,11,"Outdated","Enabled","Installed",58.41,55,"No"
"DEV0108","Server","Windows","Admin","Open Port","Ransomware","Phishing",33.24,24.99,429.1,13,18,"Outdated","Disabled","Not Installed",83.77,50,"Yes"
"DEV0109","Server","macOS","HR","SQL Injection","Insider Threat","DDoS",81,19.23,63.44,5,9,"Updated","Disabled","Installed",85.32,87,"Yes"
"DEV0110","IoT Device","Windows","Admin","Firewall Misconfiguration","APT","Phishing",82.61,55.76,93.47,4,16,"Outdated","Disabled","Not Installed",51.52,39,"Yes"
"DEV0111","IoT Device","Linux","IT","Unpatched Software","APT","Phishing",36.16,58.04,314.45,18,10,"Outdated","Enabled","Not Installed",81,47,"No"
"DEV0112","Desktop","macOS","Sales","Cross-Site Scripting","Ransomware","Brute Force",52.68,17.76,249.29,6,18,"Updated","Disabled","Installed",63.04,63,"No"
"DEV0113","IoT Device","Android","Finance","Remote Code Execution","Ransomware","Brute Force",65.68,71.82,420.24,9,22,"Outdated","Disabled","Installed",77.99,13,"No"
"DEV0114","Server","Android","Sales","Cross-Site Scripting","Ransomware","Brute Force",58.98,91.61,64,3,18,"Outdated","Enabled","Installed",46.25,60,"No"
"DEV0115","Laptop","Android","Sales","Cross-Site Scripting","Insider Threat","Brute Force",69.23,15.79,214.31,12,8,"Updated","Disabled","Installed",71.38,50,"No"
"DEV0116","Desktop","macOS","IT","SQL Injection","Ransomware","Brute Force",41.65,78.72,441.41,5,19,"Outdated","Disabled","Not Installed",82.62,53,"No"
"DEV0117","Desktop","Android","Admin","Unpatched Software","Ransomware","DDoS",40.5,18.65,380.29,7,14,"Outdated","Disabled","Installed",41.29,18,"Yes"
"DEV0118","IoT Device","Linux","IT","Open Port","Insider Threat","DDoS",82.68,86.64,471.58,0,13,"Outdated","Enabled","Not Installed",65.14,13,"Yes"
"DEV0119","Server","Linux","Finance","Outdated Antivirus","Ransomware","DDoS",63.74,66.53,157.97,14,19,"Updated","Enabled","Not Installed",55.93,30,"Yes"
"DEV0120","Desktop","Linux","Sales","Weak Password","Ransomware","Brute Force",33.32,55.3,459.75,13,2,"Updated","Disabled","Installed",99.84,65,"No"
"DEV0121","Laptop","macOS","IT","Outdated Antivirus","APT","Phishing",98.06,82.47,305.59,3,9,"Outdated","Disabled","Not Installed",40.03,6,"No"
"DEV0122","IoT Device","Android","IT","Buffer Overflow","Malware","Phishing",59.08,85.91,269.97,13,10,"Updated","Disabled","Not Installed",59.85,53,"Yes"
"DEV0123","Server","macOS","Sales","Open Port","Insider Threat","Phishing",33.19,44.18,276.76,19,11,"Updated","Enabled","Not Installed",96.72,58,"Yes"
"DEV0124","Server","macOS","IT","Unpatched Software","Insider Threat","Brute Force",37.08,67.24,244,14,1,"Outdated","Disabled","Installed",52.49,54,"Yes"
"DEV0125","Server","Linux","Admin","Open Port","APT","DDoS",76.79,88.46,269.87,4,9,"Updated","Enabled","Not Installed",60.79,61,"Yes"
"DEV0126","Desktop","Android","HR","Outdated Antivirus","APT","Brute Force",28.1,85.16,228.67,17,14,"Outdated","Enabled","Installed",98.51,5,"Yes"
"DEV0127","Desktop","Windows","IT","Outdated Antivirus","Ransomware","Brute Force",31.32,37.38,95.46,2,16,"Updated","Enabled","Installed",88.95,6,"Yes"
"DEV0128","Server","macOS","Finance","Open Port","Ransomware","Brute Force",52.76,35.37,428.44,15,14,"Outdated","Disabled","Not Installed",98.39,54,"No"
"DEV0129","Laptop","macOS","Sales","Firewall Misconfiguration","Insider Threat","Brute Force",71.01,51.01,245.94,7,19,"Updated","Enabled","Installed",75.29,33,"Yes"
"DEV0130","Laptop","macOS","Admin","Firewall Misconfiguration","Malware","Brute Force",21.92,36.81,170.66,14,24,"Outdated","Disabled","Installed",96.25,42,"No"
"DEV0131","IoT Device","macOS","Sales","Buffer Overflow","Malware","Phishing",31.9,90.65,143.53,10,15,"Updated","Disabled","Not Installed",53.41,19,"No"
"DEV0132","Server","macOS","Sales","Buffer Overflow","Insider Threat","Brute Force",40.6,72.28,138.34,18,8,"Outdated","Enabled","Installed",77.53,10,"No"
"DEV0133","Desktop","macOS","IT","Open Port","APT","DDoS",77.8,53.8,211.81,18,8,"Outdated","Disabled","Installed",53.7,79,"Yes"
"DEV0134","Desktop","Android","Admin","Privilege Escalation","Malware","Phishing",54.51,26.37,349.83,16,16,"Outdated","Disabled","Installed",86.14,97,"No"
"DEV0135","Desktop","Android","Admin","Privilege Escalation","Malware","Phishing",28.19,57.36,431.21,12,13,"Outdated","Disabled","Installed",66.7,32,"Yes"
"DEV0136","IoT Device","Windows","Finance","Cross-Site Scripting","Ransomware","DDoS",50.7,95.76,138.04,19,4,"Updated","Enabled","Not Installed",89.38,37,"Yes"
"DEV0137","Desktop","Windows","IT","Privilege Escalation","Ransomware","Phishing",60.65,30.28,178.47,17,18,"Outdated","Disabled","Not Installed",77.43,11,"No"
"DEV0138","Desktop","Android","Sales","Privilege Escalation","APT","DDoS",61.57,64.21,244.86,7,2,"Updated","Disabled","Not Installed",92.21,100,"No"
"DEV0139","Desktop","Windows","Finance","Cross-Site Scripting","Malware","Phishing",92.81,58.72,269.13,12,25,"Updated","Enabled","Installed",85.86,77,"Yes"
"DEV0140","Server","Windows","Finance","SQL Injection","Malware","DDoS",33.8,77.68,390.85,3,8,"Outdated","Disabled","Installed",55.17,44,"Yes"
"DEV0141","IoT Device","Windows","Admin","Outdated Antivirus","Malware","DDoS",52.96,36.56,293.46,18,10,"Updated","Enabled","Installed",56.29,82,"Yes"
"DEV0142","IoT Device","Linux","Admin","Remote Code Execution","Malware","DDoS",53.29,66.26,484.72,3,1,"Updated","Disabled","Not Installed",52.87,48,"Yes"
"DEV0143","Desktop","Windows","Sales","Unpatched Software","Insider Threat","DDoS",56.61,17.99,241.19,14,13,"Outdated","Enabled","Installed",72.35,83,"Yes"
"DEV0144","Laptop","Linux","HR","Cross-Site Scripting","Insider Threat","Brute Force",22.88,94.6,126.62,19,11,"Updated","Enabled","Installed",91.7,19,"No"
"DEV0145","Desktop","Linux","Sales","Unpatched Software","Ransomware","DDoS",93.59,28.77,405.46,2,23,"Outdated","Disabled","Not Installed",41.36,34,"No"
"DEV0146","Desktop","Android","Finance","Weak Password","APT","DDoS",80.23,40.64,133.04,3,3,"Outdated","Disabled","Not Installed",47.22,16,"No"
"DEV0147","Desktop","Android","Admin","Cross-Site Scripting","Ransomware","Phishing",98.33,48.67,267.38,17,1,"Outdated","Enabled","Installed",46.33,96,"No"
"DEV0148","Server","Android","Admin","Buffer Overflow","Malware","Brute Force",90.82,52.32,171.57,5,10,"Updated","Disabled","Not Installed",79.08,45,"Yes"
"DEV0149","IoT Device","Android","IT","Buffer Overflow","Malware","DDoS",99.48,61.89,302.7,0,13,"Updated","Disabled","Installed",53.93,69,"Yes"
"DEV0150","Desktop","Android","Sales","Open Port","APT","DDoS",50.03,60.95,487.94,16,9,"Updated","Disabled","Installed",53.88,67,"Yes"
"DEV0151","Server","macOS","HR","Remote Code Execution","APT","Phishing",47.75,86.15,134,20,24,"Outdated","Enabled","Installed",84.79,50,"No"
"DEV0152","Desktop","Android","Sales","Firewall Misconfiguration","APT","Brute Force",82.25,50.41,377.13,13,13,"Outdated","Disabled","Not Installed",98.78,13,"Yes"
"DEV0153","Server","macOS","Finance","SQL Injection","Malware","Brute Force",31.65,57.78,208.01,8,1,"Updated","Disabled","Installed",97.19,19,"No"
"DEV0154","IoT Device","Windows","Finance","Remote Code Execution","Ransomware","DDoS",60.25,58.98,347.15,17,2,"Outdated","Disabled","Installed",90.11,52,"Yes"
"DEV0155","Laptop","Linux","HR","Open Port","Ransomware","Phishing",79.4,52.29,166.47,11,18,"Outdated","Disabled","Installed",96.31,81,"Yes"
"DEV0156","Server","Linux","Sales","Weak Password","Ransomware","Phishing",36.11,42.1,140.34,18,7,"Updated","Disabled","Not Installed",82.07,1,"No"
"DEV0157","Server","Windows","Sales","Remote Code Execution","Ransomware","Brute Force",73.47,86.85,357.06,20,3,"Outdated","Disabled","Not Installed",99.8,87,"Yes"
"DEV0158","Server","Android","Admin","Outdated Antivirus","Malware","Brute Force",55.5,82.24,90.16,14,18,"Outdated","Enabled","Not Installed",74.67,77,"Yes"
"DEV0159","Laptop","macOS","Sales","Buffer Overflow","Malware","Phishing",92.05,97.35,443.86,16,7,"Outdated","Enabled","Installed",90.51,18,"Yes"
"DEV0160","Server","macOS","Admin","Outdated Antivirus","Insider Threat","Phishing",43.47,50.93,370.01,5,24,"Outdated","Enabled","Not Installed",52.55,67,"Yes"
"DEV0161","Server","Android","HR","Open Port","Ransomware","DDoS",64.78,53.67,195.14,2,20,"Updated","Enabled","Installed",99.84,86,"No"
"DEV0162","Desktop","Linux","IT","Remote Code Execution","Ransomware","Phishing",22.28,54.79,488.17,10,19,"Updated","Disabled","Installed",58.98,93,"Yes"
"DEV0163","Desktop","Windows","Finance","Firewall Misconfiguration","Insider Threat","DDoS",65.11,88.09,56.02,16,11,"Outdated","Disabled","Installed",68.81,70,"Yes"
"DEV0164","Desktop","Android","IT","Unpatched Software","Ransomware","Brute Force",65.74,57.77,173.19,12,5,"Updated","Disabled","Installed",72.35,94,"Yes"
"DEV0165","Server","macOS","IT","Unpatched Software","Ransomware","Phishing",94.8,71.99,139.51,2,16,"Updated","Disabled","Installed",84.27,66,"No"
"DEV0166","IoT Device","Linux","Sales","Unpatched Software","Ransomware","Phishing",73.91,29.68,173.82,16,23,"Outdated","Enabled","Installed",75.29,75,"Yes"
"DEV0167","Server","Windows","HR","Cross-Site Scripting","APT","Phishing",65.15,53.98,128.79,9,3,"Updated","Disabled","Not Installed",79.11,29,"No"
"DEV0168","Server","macOS","IT","Firewall Misconfiguration","APT","Phishing",33.59,71.96,446.08,13,11,"Outdated","Disabled","Installed",77.68,20,"Yes"
"DEV0169","Desktop","Android","Finance","Remote Code Execution","APT","DDoS",80.2,17.27,446.52,12,25,"Outdated","Enabled","Not Installed",81.78,50,"No"
"DEV0170","Laptop","Linux","IT","SQL Injection","APT","Brute Force",44.33,44.28,485.77,14,2,"Updated","Disabled","Not Installed",40.28,94,"No"
"DEV0171","Desktop","Android","IT","Outdated Antivirus","APT","Brute Force",74.88,28.83,300.58,1,9,"Outdated","Disabled","Not Installed",44.56,75,"Yes"
